LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_49856,38,38,76,8,0,0,0,2,85.0,201.0,286.0,1366.0077265284326,835.3082287282683,203.23374661552688,0.0,15.97736559545438,21.570975922182495,5.561333266412216,17.565889529430823,4.3701061954012745,0.8415161751602825,1386.8968276112805,1366.0077265284326,0.9849382443834512,16.07067913562862,1.0058403583254543,0.13486784822738976
Track_49858,40,40,102,6,0,0,0,1,107.0,223.0,330.0,1474.674570916324,752.936084298591,181.80724135472929,0.0,13.73169039955315,20.68359203508992,1.3895283001814303,16.973232187054297,6.302369084698103,0.8635939403491861,1497.5165518616457,1474.674570916324,0.9847467589477221,13.782005335666579,1.0036641472862704,0.14494866631533015
Track_49859,41,41,128,5,0,0,0,2,134.0,226.0,360.0,1486.5980153979356,721.0705142389576,219.64890174957767,0.0,11.375996290471559,20.71292099784108,0.11230923233980088,14.993184759396254,7.100186838441158,0.8785444935783744,1512.8223553499895,1486.5980153979356,0.9826652879240492,11.094015040283102,0.9752126105715556,0.37862276934967354
Track_49861,43,43,45,5,0,0,0,2,51.0,237.0,288.0,743.5070664653055,1045.4630010189478,207.26280301101428,0.0,14.553740526895492,20.45081272359799,6.014122119089318,16.68031957666579,4.697948156860026,0.7238924887445238,759.3028644955696,743.5070664653055,0.9791969729486563,14.578569930692264,1.0017060496407015,0.15280665632838913
Track_49863,45,45,75,4,0,0,0,2,79.0,247.0,326.0,821.9157218112365,546.3937818574763,226.56295705387228,0.0,10.543143696158987,19.8583794360322,0.1451312289728432,13.816963643340326,7.58495579979725,0.8902701878547669,853.4678011598493,821.9157218112365,0.9630307326114307,10.403996478623247,0.9868021131508969,0.4384636956515117
Track_49866,48,48,140,2,0,0,0,3,143.0,286.0,429.0,782.1318160400414,534.5915561904876,207.29980098307163,0.0,5.793018151387285,16.74964880855241,0.0229847921419697,1.7185232263685146,6.441964654430433,0.9002651257174356,809.4350985892901,782.1318160400414,0.966268719262565,5.469453259021268,0.9441457140457032,0.7053660600567117
Track_49867,49,49,37,1,0,0,0,1,37.0,293.0,330.0,635.767014662518,346.37076457525046,239.54434078738086,0.0,17.31201514019164,20.591201453495668,6.344534793677052,18.186520790650107,3.55063201007704,0.7990232383882677,640.1154761911401,635.767014662518,0.99320675457732,17.182892288176163,0.992541431429568,0.07083480971108691
Track_49868,50,50,132,4,0,0,0,3,139.0,295.0,434.0,1462.7625131370191,838.5352686570714,172.9008702023247,0.0,10.326790446577427,20.99692732565541,0.10536115907252593,12.190420389760039,7.5028452337676335,0.877255429372643,1499.1349756296604,1462.7625131370191,0.9757377000177291,10.523471317532511,1.0190456920736946,0.49009222678414704
Track_49869,51,51,106,6,0,0,0,3,114.0,296.0,410.0,1486.6895196731946,757.6525290644963,195.61325637890297,0.0,13.179541261045372,20.735945553936926,0.2934196114119669,16.29711499619222,6.2698956404731625,0.8299997985925315,1508.9157934149268,1486.6895196731946,0.9852700370433326,13.041136137484163,0.9894984870247121,0.13895979079660598
Track_49870,52,52,102,4,0,0,0,1,105.0,298.0,403.0,1482.523533184271,760.869889248233,216.43241465368192,0.0,14.221166575244267,20.25796953415572,2.275698606826202,16.342919307810156,5.037556889182951,0.8680899172436958,1504.751756922677,1482.523533184271,0.9852279795413801,14.119271744612105,0.9928349878968764,0.12347511368045506
